CATEGORY,CATEGORY_ID,SUBCATEGORY,SUBCATEGORY_ID,IMAGEKIT_ASSET_COUNT,OBVIOUS_PRODUCT_COUNT,BRANDS_DETECTED,MISSING/UNCERTAIN ITEMS
Smartphones,C01,,,1661,390,Apple|OPPO|POCO|Samsung|Tecno|Xiaomi|itel,
Smartphones,C01,S01-01,S01-01,770,201,OPPO|itel,
Smartphones,C01,S01-02,S01-02,0,0,,
Smartphones,C01,S01-03,S01-03,0,0,,
Smartphones,C01,S01-04,S01-04,0,0,,
Smartphones,C01,S01-05,S01-05,0,0,,
Smartphones,C01,S01-06,S01-06,0,0,,
Smartphones,C01,S01-07,S01-07,0,0,,
Smartphones,C01,S01-08,S01-08,0,0,,
Smartphones,C01,S01-09,S01-09,0,0,,
Smartphones,C01,S01-10,S01-10,0,0,,
Smartphones,C01,S01-11,S01-11,0,0,,
Smartphones,C01,S01-12,S01-12,0,0,,
Smartphones,C01,S01-13,S01-13,0,0,,
Tablets,C02,,,12,1,,
Tablets,C02,S02-01,S02-01,0,0,,
Tablets,C02,S02-02,S02-02,0,0,,
Tablets,C02,S02-03,S02-03,0,0,,
Tablets,C02,S02-04,S02-04,0,0,,
Tablets,C02,S02-05,S02-05,0,0,,
Tablets,C02,S02-06,S02-06,0,0,,
Tablets,C02,S02-07,S02-07,0,0,,
Laptops,C03,,,394,394,,
Laptops,C03,S03-01,S03-01,0,0,,
Laptops,C03,S03-02,S03-02,0,0,,
Laptops,C03,S03-03,S03-03,0,0,,
Laptops,C03,S03-04,S03-04,0,0,,
Laptops,C03,S03-05,S03-05,0,0,,
Laptops,C03,S03-06,S03-06,0,0,,
Laptops,C03,S03-07,S03-07,0,0,,
Laptops,C03,S03-08,S03-08,0,0,,
Laptops,C03,S03-09,S03-09,0,0,,
Laptops,C03,S03-10,S03-10,0,0,,
Desktop Computers,C04,,,0,0,,
Desktop Computers,C04,S04-01,S04-01,0,0,,
Desktop Computers,C04,S04-02,S04-02,0,0,,
Desktop Computers,C04,S04-03,S04-03,0,0,,
Desktop Computers,C04,S04-04,S04-04,0,0,,
Desktop Computers,C04,S04-05,S04-05,0,0,,
Desktop Computers,C04,S04-06,S04-06,0,0,,
Monitors,C05,,,0,0,,
Monitors,C05,S05-01,S05-01,0,0,,
Monitors,C05,S05-02,S05-02,0,0,,
Monitors,C05,S05-03,S05-03,0,0,,
Monitors,C05,S05-04,S05-04,0,0,,
Monitors,C05,S05-05,S05-05,0,0,,
