GROUP_KEY,CATEGORY,BRAND,DISPLAY_NAME,IMAGE_COUNT,PRIMARY_IMAGE,CONFIDENCE,NEEDS_REVIEW
NO-CAT::NO-BRAND::image,,,image,99,https://ik.imagekit.io/0iaahkrcv/gadgets/image%20(1).webp?updatedAt=1786555401011,LOW,YES
NO-CAT::NO-BRAND::view,,,view,49,https://ik.imagekit.io/0iaahkrcv/gadgets/view%20(1).webp?updatedAt=1786555420330,LOW,YES
C01::Apple::apple-iphone-17-pro-max-b-medium,Smartphones,Apple,Apple Iphone 17 Pro Max b medium,24,https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20iOS%20Smartphones%20-%20Price%20in%20Kenya/Apple-Iphone-17-Pro-Max-b-medium%20(1).webp?updatedAt=1786489224508,MEDIUM,NO
C08::Oraimo::oraimo-original,Audio,Oraimo,oraimo original,23,https://ik.imagekit.io/0iaahkrcv/airbuds/oraimo-original%20(1).webp?updatedAt=1786554852588,HIGH,NO
C01::Samsung::samsung-galaxy-a07-4c-medium,Smartphones,Samsung,Samsung Galaxy A07 4c medium,21,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-A07-4c-medium%20(1).webp?updatedAt=1786488987232,MEDIUM,NO
C01::Samsung::galaxy-z-fold-5-medium,Smartphones,Samsung,galaxy z fold 5 medium,18,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/galaxy-z-fold-5-medium%20(1).webp?updatedAt=1786488987021,MEDIUM,NO
C08::Nothing::nothing-original,Audio,Nothing,nothing original,17,https://ik.imagekit.io/0iaahkrcv/airbuds/nothing-original%20(1).webp?updatedAt=1786554847560,HIGH,NO
C08::Apple::airpods-4-b-medium,Audio,Apple,AirPods 4 b medium,15,https://ik.imagekit.io/0iaahkrcv/airbuds/AirPods-4-b-medium%20(1).webp?updatedAt=1786554837769,HIGH,NO
C01::Apple::apple-iphone-17-pro-max-medium,Smartphones,Apple,Apple Iphone 17 Pro Max medium,15,https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20iOS%20Smartphones%20-%20Price%20in%20Kenya/Apple-Iphone-17-Pro-Max-medium%20(1).webp?updatedAt=1786489224225,MEDIUM,NO
C01::Samsung::samsung-galaxy-note-20-ultra-a-medium,Smartphones,Samsung,samsung galaxy note 20 ultra a medium,15,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/samsung-galaxy-note-20-ultra-a-medium%20(1).webp?updatedAt=1786488896346,MEDIUM,NO
C01::Samsung::samsung-galaxy-a17-5g-medium,Smartphones,Samsung,Samsung Galaxy A17 5G medium,14,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-A17-5G-medium%20(1).webp?updatedAt=1786488996608,MEDIUM,NO
C01::OPPO::blackview-original,Smartphones,OPPO,Blackview original,13,https://ik.imagekit.io/0iaahkrcv/Oppo2/Blackview-original%20(1).webp?updatedAt=1786555550287,HIGH,NO
C01::OPPO::hmd-original,Smartphones,OPPO,hmd original,13,https://ik.imagekit.io/0iaahkrcv/Oppo2/hmd-original%20(1).webp?updatedAt=1786555550214,HIGH,NO
C01::OPPO::nothing-original,Smartphones,OPPO,nothing original,13,https://ik.imagekit.io/0iaahkrcv/Oppo2/nothing-original%20(1).webp?updatedAt=1786555550540,HIGH,NO
C01::OPPO::philips-original,Smartphones,OPPO,Philips original,13,https://ik.imagekit.io/0iaahkrcv/Oppo2/Philips-original%20(1).webp?updatedAt=1786555560014,HIGH,NO
C01::OPPO::zte-original,Smartphones,OPPO,ZTE original,13,https://ik.imagekit.io/0iaahkrcv/Oppo2/ZTE-original%20(1).webp?updatedAt=1786555563293,HIGH,NO
C08::Apple::airpods-pro-3-a-medium,Audio,Apple,airpods pro 3 a medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/airpods-pro-3-a-medium%20(1).webp?updatedAt=1786554837697,HIGH,NO
C08::Anker Soundcore::anker-soundcore-a30i-medium,Audio,Anker Soundcore,Anker Soundcore A30i medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Anker-Soundcore-A30i-medium%20(1).webp?updatedAt=1786554836971,HIGH,NO
C08::Anker Soundcore::anker-soundcore-liberty-4-nc-c-medium,Audio,Anker Soundcore,Anker Soundcore Liberty 4 NC c medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Anker-Soundcore-Liberty-4-NC-c-medium%20(1).webp?updatedAt=1786554838266,HIGH,NO
C08::Anker Soundcore::anker-soundcore-p30i-f-medium,Audio,Anker Soundcore,Anker Soundcore P30i f medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Anker-Soundcore-P30i-f-medium%20(1).webp?updatedAt=1786554837589,HIGH,NO
C08::Anker Soundcore::anker-soundcore-r50i-e-medium,Audio,Anker Soundcore,Anker Soundcore R50i e medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Anker-Soundcore-R50i-e-medium%20(1).webp?updatedAt=1786554838145,HIGH,NO
C08::Samsung::galaxy-buds-3-fe-n-medium,Audio,Samsung,galaxy buds 3 fe n medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/galaxy-buds-3-fe-n-medium%20(1).webp?updatedAt=1786554841917,HIGH,NO
C08::Samsung::galaxy-buds-core-c-medium,Audio,Samsung,galaxy buds core c medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/galaxy-buds-core-c-medium%20(1).webp?updatedAt=1786554844804,HIGH,NO
C08::Huawei::huawei-freeclip-2-medium,Audio,Huawei,Huawei FreeClip 2 medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Huawei-FreeClip-2-medium%20(1).webp?updatedAt=1786554846646,HIGH,NO
C08::JBL::jbl-live-beam-3-medium,Audio,JBL,JBL Live Beam 3 medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/JBL-Live-Beam-3-medium%20(1).webp?updatedAt=1786554847254,HIGH,NO
C08::JBL::jbl-live-flex-3-medium,Audio,JBL,JBL Live Flex 3 medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/JBL-Live-Flex-3-medium%20(1).webp?updatedAt=1786554847087,HIGH,NO
C08::JBL::jbl-tune-buds-2-m-medium,Audio,JBL,JBL Tune Buds 2 m medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/JBL-Tune-Buds-2-m-medium%20(1).webp?updatedAt=1786554847265,HIGH,NO
C08::Nothing::nothing-cmf-buds-pro-2-c-medium,Audio,Nothing,Nothing CMF Buds Pro 2 c medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Nothing-CMF-Buds-Pro-2-c-medium%20(1).webp?updatedAt=1786554847267,HIGH,NO
C08::OnePlus::oneplus-buds-pro-7bkrjvu59n-medium,Audio,OnePlus,oneplus buds pro 7BKRjVu59N medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/oneplus-buds-pro-7BKRjVu59N-medium%20(1).webp?updatedAt=1786554847710,LOW,YES
C08::Samsung::samsung-galaxy-buds-4-a-medium,Audio,Samsung,Samsung Galaxy Buds 4 a medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Samsung-Galaxy-Buds-4-a-medium%20(1).webp?updatedAt=1786554856295,HIGH,NO
C08::Samsung::samsung-galaxy-buds-4-pro-c-medium,Audio,Samsung,Samsung Galaxy Buds 4 Pro c medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Samsung-Galaxy-Buds-4-Pro-c-medium%20(1).webp?updatedAt=1786554856261,HIGH,NO
C08::Sony::sony-wf-c710n-c-medium,Audio,Sony,Sony WF C710N c medium,12,https://ik.imagekit.io/0iaahkrcv/airbuds/Sony-WF-C710N-c-medium%20(1).webp?updatedAt=1786554856418,HIGH,NO
C01::Tecno::tecno-camon-40a-medium,Smartphones,Tecno,Tecno Camon 40a medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Tecno%20Smartphones%20-%20Price%20in%20Kenya/Tecno-Camon-40a-medium%20(1).webp?updatedAt=1786472833810,HIGH,NO
NO-CAT::NO-BRAND::tecnophantomx3-medium,,,tecnophantomx3 medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Tecno%20Smartphones%20-%20Price%20in%20Kenya/tecnophantomx3-medium%20(1).webp?updatedAt=1786472835880,LOW,YES
C01::Samsung::galaxy-z-fold-3-medium,Smartphones,Samsung,galaxy z fold 3 medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/galaxy-z-fold-3-medium%20(1).webp?updatedAt=1786488987006,MEDIUM,NO
C01::Samsung::galaxy-z-fold-4-k-medium,Smartphones,Samsung,galaxy z fold 4 k medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/galaxy-z-fold-4-k-medium%20(1).webp?updatedAt=1786488987093,MEDIUM,NO
NO-CAT::Samsung::galaxyzflip4q-medium,,Samsung,galaxyzflip4q medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/galaxyzflip4q-medium%20(1).webp?updatedAt=1786488987094,LOW,YES
C01::Samsung::samsung-galaxy-a56-medium,Smartphones,Samsung,Samsung Galaxy A56 medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-A56-medium%20(1).webp?updatedAt=1786489029670,MEDIUM,NO
C01::Samsung::samsung-galaxy-m36-b-medium,Smartphones,Samsung,Samsung Galaxy M36 b medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-M36-b-medium%20(1).webp?updatedAt=1786489029677,MEDIUM,NO
C01::Samsung::samsung-galaxy-z-flip-5-a-medium,Smartphones,Samsung,Samsung Galaxy Z Flip 5 a medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-Z-Flip-5-a-medium%20(1).webp?updatedAt=1786489031634,MEDIUM,NO
C01::Samsung::samsung-galaxy-z-flip-7-a-medium,Smartphones,Samsung,Samsung Galaxy Z Flip 7 a medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-Z-Flip-7-a-medium%20(1).webp?updatedAt=1786489032771,MEDIUM,NO
