duplicateGroupKey,duplicateBasis,count,fileIds,filePaths,names,size,width,height
10144|320|320|oppo-find-x9-pro-medium.webp,same name + size + dimensions,2,6a7cac755c7cd75eb85ab618|6a7caca65c7cd75eb85db9aa,/Oppo/Oppo-Find-X9-Pro-medium.webp|/Oppo2/Oppo-Find-X9-Pro-medium.webp,Oppo-Find-X9-Pro-medium.webp|Oppo-Find-X9-Pro-medium.webp,10144,320,320
10202|320|320|tecno-camon-slim-c-medium.webp,same name + size + dimensions,2,6a7b697e5c7cd75eb8e1832f|6a7b6a875c7cd75eb8e70e87,/ecommerce/All Tecno Smartphones - Price in Kenya/Tecno-Camon-Slim-c-medium.webp|/ecommerce/Tecno-2/All Tecno Smartphones - Price in Kenya/Tecno-Camon-Slim-c-medium.webp,Tecno-Camon-Slim-c-medium.webp|Tecno-Camon-Slim-c-medium.webp,10202,320,320
10302|320|320|oppo-find-x9-medium.webp,same name + size + dimensions,2,6a7cac755c7cd75eb85ab79f|6a7caca65c7cd75eb85db99e,/Oppo/Oppo-Find-X9-medium.webp|/Oppo2/Oppo-Find-X9-medium.webp,Oppo-Find-X9-medium.webp|Oppo-Find-X9-medium.webp,10302,320,320
10468|320|320|tecno-pop-x-5g-medium (1).webp,same name + size + dimensions,2,6a7b697e5c7cd75eb8e182ed|6a7b6a885c7cd75eb8e71053,/ecommerce/All Tecno Smartphones - Price in Kenya/Tecno-Pop-X-5G-medium (1).webp|/ecommerce/Tecno-2/All Tecno Smartphones - Price in Kenya/Tecno-Pop-X-5G-medium (1).webp,Tecno-Pop-X-5G-medium (1).webp|Tecno-Pop-X-5G-medium (1).webp,10468,320,320
10538|320|320|tecno-pova-curve-a-medium.webp,same name + size + dimensions,2,6a7b697f5c7cd75eb8e1882a|6a7b6a895c7cd75eb8e71a94,/ecommerce/All Tecno Smartphones - Price in Kenya/Tecno-Pova-Curve-a-medium.webp|/ecommerce/Tecno-2/All Tecno Smartphones - Price in Kenya/Tecno-Pova-Curve-a-medium.webp,Tecno-Pova-Curve-a-medium.webp|Tecno-Pova-Curve-a-medium.webp,10538,320,320
10814|320|160|itel-logo-original (1).webp,same name + size + dimensions,6,6a7c25435c7cd75eb84ec8d8|6a7cac9e5c7cd75eb85d3ad3|6a7cadd05c7cd75eb870909a|6a7caeb85c7cd75eb87f92fe|6a7caeed5c7cd75eb883861c|6a7c236e5c7cd75eb8414334,/itel/itel-logo-original (1).webp|/Oppo2/itel-logo-original (1).webp|/Oppo3/itel-logo-original (1).webp|/Oppo5/itel-logo-original (1).webp|/Oppo6/itel-logo-original (1).webp|/tvs/itel-logo-original (1).webp,itel-logo-original (1).webp|itel-logo-original (1).webp|itel-logo-original (1).webp|itel-logo-original (1).webp|itel-logo-original (1).webp|itel-logo-original (1).webp,10814,320,160
10814|320|160|itel-logo-original (4).webp,same name + size + dimensions,2,6a7c25495c7cd75eb84ef134|6a7c23755c7cd75eb8418b91,/itel/itel-logo-original (4).webp|/tvs/itel-logo-original (4).webp,itel-logo-original (4).webp|itel-logo-original (4).webp,10814,320,160
10850|320|160|itel-logo-original (3).webp,same name + size + dimensions,2,6a7c25425c7cd75eb84eb521|6a7c23755c7cd75eb8418b7e,/itel/itel-logo-original (3).webp|/tvs/itel-logo-original (3).webp,itel-logo-original (3).webp|itel-logo-original (3).webp,10850,320,160
10850|320|160|itel-logo-original.webp,same name + size + dimensions,7,6a7c25495c7cd75eb84ef0fc|6a7cac9d5c7cd75eb85d371d|6a7cadd15c7cd75eb8709444|6a7cae075c7cd75eb8740d3b|6a7caeb85c7cd75eb87f950a|6a7caeed5c7cd75eb88382b9|6a7c238c5c7cd75eb8421adc,/itel/itel-logo-original.webp|/Oppo2/itel-logo-original.webp|/Oppo3/itel-logo-original.webp|/Oppo4/itel-logo-original.webp|/Oppo5/itel-logo-original.webp|/Oppo6/itel-logo-original.webp|/tvs/itel-logo-original.webp,itel-logo-original.webp|itel-logo-original.webp|itel-logo-original.webp|itel-logo-original.webp|itel-logo-original.webp|itel-logo-original.webp|itel-logo-original.webp,10850,320,160
11068|320|320|galaxy-z-fold-3-medium (1).webp,same name + size + dimensions,2,6a7ba89a5c7cd75eb818854d|6a7ba86b5c7cd75eb815d50b,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/galaxy-z-fold-3-medium (1).webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/galaxy-z-fold-3-medium (1).webp,galaxy-z-fold-3-medium (1).webp|galaxy-z-fold-3-medium (1).webp,11068,320,320
11068|320|320|galaxy-z-fold-3-medium.webp,same name + size + dimensions,2,6a7ba89a5c7cd75eb8188569|6a7ba86b5c7cd75eb815d65d,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/galaxy-z-fold-3-medium.webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/galaxy-z-fold-3-medium.webp,galaxy-z-fold-3-medium.webp|galaxy-z-fold-3-medium.webp,11068,320,320
