candidateId,productName,brand,model,category,price,currency,priceStatus,priceType,sourceName,sourceUrl,checkedAt,confidence,notes
IMG-PROD-00001,"image","","image","Uncategorized",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00002,"view","","view","Uncategorized",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00003,"Apple Iphone 17 Pro Max b medium","Apple","Iphone 17 Pro Max b medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00004,"oraimo original","Oraimo","original","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00005,"Samsung Galaxy A07 4c medium","Samsung","Galaxy A07 4c medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00006,"galaxy z fold 5 medium","Samsung","galaxy z fold 5 medium","Smartphones",195000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-z-fold-5/",2026-08-20,HIGH,"Samsung Galaxy Z Fold 5 256GB/512GB"
IMG-PROD-00007,"nothing original","Nothing","original","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00008,"AirPods 4 b medium","Apple","AirPods 4 b medium","Audio",17500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/apple-airpods-4/",2026-08-20,HIGH,"Standard AirPods 4 KSh 17,500; ANC model KSh 25,000"
IMG-PROD-00009,"Apple Iphone 17 Pro Max medium","Apple","Iphone 17 Pro Max medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00010,"samsung galaxy note 20 ultra a medium","Samsung","galaxy note 20 ultra a medium","Smartphones",78000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya / Avechi","https://www.phoneplacekenya.com/product/samsung-galaxy-note-20-ultra-5g/",2026-08-20,HIGH,"Samsung Galaxy Note 20 Ultra 5G"
